,Data,location,Total de Mortes,Novas Mortes no Dia
13046,23/10/2020,Brazil,156471.0,571.0
13047,24/10/2020,Brazil,156903.0,432.0
13048,25/10/2020,Brazil,157134.0,231.0
13049,26/10/2020,Brazil,157397.0,263.0
13050,27/10/2020,Brazil,157946.0,549.0
13051,28/10/2020,Brazil,158456.0,510.0
13052,29/10/2020,Brazil,158969.0,513.0
13053,30/10/2020,Brazil,159477.0,508.0
13054,31/10/2020,Brazil,159884.0,407.0
13055,01/11/2020,Brazil,160074.0,190.0
13056,02/11/2020,Brazil,160253.0,179.0
13057,03/11/2020,Brazil,160496.0,243.0
13058,04/11/2020,Brazil,161106.0,610.0
13059,05/11/2020,Brazil,161106.0,0.0
13060,06/11/2020,Brazil,162015.0,909.0
13061,07/11/2020,Brazil,162269.0,254.0
13062,08/11/2020,Brazil,162397.0,128.0
13063,09/11/2020,Brazil,162628.0,231.0
13064,10/11/2020,Brazil,162802.0,174.0
13065,11/11/2020,Brazil,163368.0,566.0
13066,12/11/2020,Brazil,164281.0,913.0
13067,13/11/2020,Brazil,164737.0,456.0
13068,14/11/2020,Brazil,165658.0,921.0
13069,15/11/2020,Brazil,165798.0,140.0
13070,16/11/2020,Brazil,166014.0,216.0
13071,17/11/2020,Brazil,166699.0,685.0
13072,18/11/2020,Brazil,167455.0,756.0
13073,19/11/2020,Brazil,168061.0,606.0
13074,20/11/2020,Brazil,168613.0,552.0
13075,21/11/2020,Brazil,168989.0,376.0
13076,22/11/2020,Brazil,169183.0,194.0
13077,23/11/2020,Brazil,169485.0,302.0
13078,24/11/2020,Brazil,170115.0,630.0
13079,25/11/2020,Brazil,170769.0,654.0
13080,26/11/2020,Brazil,171460.0,691.0
13081,27/11/2020,Brazil,171974.0,514.0
13082,28/11/2020,Brazil,172561.0,587.0
13083,29/11/2020,Brazil,172833.0,272.0
13084,30/11/2020,Brazil,173120.0,287.0
13085,01/12/2020,Brazil,173817.0,697.0
13086,02/12/2020,Brazil,174515.0,698.0
13087,03/12/2020,Brazil,175270.0,755.0
13088,04/12/2020,Brazil,175964.0,694.0
13089,05/12/2020,Brazil,176628.0,664.0
13090,06/12/2020,Brazil,176941.0,313.0
13091,07/12/2020,Brazil,177317.0,376.0
13092,08/12/2020,Brazil,178159.0,842.0
13093,09/12/2020,Brazil,178995.0,836.0
13094,10/12/2020,Brazil,179765.0,770.0
13095,11/12/2020,Brazil,180437.0,672.0
13096,12/12/2020,Brazil,181123.0,686.0
13097,13/12/2020,Brazil,181402.0,279.0
13098,14/12/2020,Brazil,181835.0,433.0
13099,15/12/2020,Brazil,182799.0,964.0
13100,16/12/2020,Brazil,183735.0,936.0
13101,17/12/2020,Brazil,184827.0,1092.0
13102,18/12/2020,Brazil,185650.0,823.0
13103,19/12/2020,Brazil,186356.0,706.0
13104,20/12/2020,Brazil,186764.0,408.0
13105,21/12/2020,Brazil,187291.0,527.0
13106,22/12/2020,Brazil,188259.0,968.0
13107,23/12/2020,Brazil,189220.0,961.0
13108,24/12/2020,Brazil,189982.0,762.0
13109,25/12/2020,Brazil,190488.0,506.0
13110,26/12/2020,Brazil,190795.0,307.0
13111,27/12/2020,Brazil,191139.0,344.0
13112,28/12/2020,Brazil,191570.0,431.0
13113,29/12/2020,Brazil,192681.0,1111.0
13114,30/12/2020,Brazil,193875.0,1194.0
13115,31/12/2020,Brazil,194949.0,1074.0
13116,01/01/2021,Brazil,195411.0,462.0
13117,02/01/2021,Brazil,195725.0,314.0
13118,03/01/2021,Brazil,196018.0,293.0
13119,04/01/2021,Brazil,196561.0,543.0
13120,05/01/2021,Brazil,197732.0,1171.0
13121,06/01/2021,Brazil,198974.0,1242.0
13122,07/01/2021,Brazil,200498.0,1524.0
13123,08/01/2021,Brazil,201460.0,962.0
13124,09/01/2021,Brazil,202631.0,1171.0
13125,10/01/2021,Brazil,203100.0,469.0
13126,11/01/2021,Brazil,203580.0,480.0
13127,12/01/2021,Brazil,204690.0,1110.0
13128,13/01/2021,Brazil,205964.0,1274.0
13129,14/01/2021,Brazil,207095.0,1131.0
13130,15/01/2021,Brazil,208246.0,1151.0
13131,16/01/2021,Brazil,209296.0,1050.0
13132,17/01/2021,Brazil,209847.0,551.0
13133,18/01/2021,Brazil,210299.0,452.0
13134,19/01/2021,Brazil,211491.0,1192.0
13135,20/01/2021,Brazil,212831.0,1340.0
13136,21/01/2021,Brazil,214147.0,1316.0
13137,22/01/2021,Brazil,215243.0,1096.0
13138,23/01/2021,Brazil,216445.0,1202.0
13139,24/01/2021,Brazil,217037.0,592.0
13140,25/01/2021,Brazil,217664.0,627.0
13141,26/01/2021,Brazil,218878.0,1214.0
13142,27/01/2021,Brazil,220161.0,1283.0
13143,28/01/2021,Brazil,221547.0,1386.0
13144,29/01/2021,Brazil,222666.0,1119.0
13145,30/01/2021,Brazil,223945.0,1279.0
13146,31/01/2021,Brazil,224504.0,559.0
13147,01/02/2021,Brazil,225099.0,595.0
13148,02/02/2021,Brazil,226309.0,1210.0
13149,03/02/2021,Brazil,227563.0,1254.0
13150,04/02/2021,Brazil,228795.0,1232.0
13151,05/02/2021,Brazil,230034.0,1239.0
13152,06/02/2021,Brazil,230034.0,0.0
13153,07/02/2021,Brazil,231534.0,1500.0
13154,08/02/2021,Brazil,231534.0,0.0
13155,09/02/2021,Brazil,233520.0,1986.0
13156,10/02/2021,Brazil,234850.0,1330.0
13157,11/02/2021,Brazil,236201.0,1351.0
13158,12/02/2021,Brazil,237489.0,1288.0
13159,13/02/2021,Brazil,238532.0,1043.0
13160,14/02/2021,Brazil,239245.0,713.0
13161,15/02/2021,Brazil,239773.0,528.0
13162,16/02/2021,Brazil,240940.0,1167.0
13163,17/02/2021,Brazil,242090.0,1150.0
13164,18/02/2021,Brazil,243457.0,1367.0
13165,19/02/2021,Brazil,244737.0,1280.0
13166,20/02/2021,Brazil,245977.0,1240.0
13167,21/02/2021,Brazil,246504.0,527.0
13168,22/02/2021,Brazil,247143.0,639.0
13169,23/02/2021,Brazil,248529.0,1386.0
13170,24/02/2021,Brazil,249957.0,1428.0
13171,25/02/2021,Brazil,251498.0,1541.0
13172,26/02/2021,Brazil,252835.0,1337.0
13173,27/02/2021,Brazil,254221.0,1386.0
13174,28/02/2021,Brazil,254942.0,721.0
13175,01/03/2021,Brazil,255720.0,778.0
13176,02/03/2021,Brazil,257361.0,1641.0
13177,03/03/2021,Brazil,259271.0,1910.0
13178,04/03/2021,Brazil,260970.0,1699.0
13179,05/03/2021,Brazil,262770.0,1800.0
13180,06/03/2021,Brazil,264325.0,1555.0
13181,07/03/2021,Brazil,265411.0,1086.0
13182,08/03/2021,Brazil,266398.0,987.0
13183,09/03/2021,Brazil,268370.0,1972.0
13184,10/03/2021,Brazil,270656.0,2286.0
